,date,weather situation,mixtem,maxtem,wind
0,2017年11月13日杜尔伯特天气预报,多云/多云,-7℃,1℃,"西风 3～4级
                                        "
1,2017年11月14日杜尔伯特天气预报,阵雪/多云,-12℃,-3℃,"西风 4～5级
                                        "
2,2017年11月15日杜尔伯特天气预报,晴/晴,-14℃,-5℃,"西北风 3～4级
                                        "
3,2017年11月16日杜尔伯特天气预报,多云/多云,-14℃,-5℃,"西风 3～4级
                                        "
4,2017年11月17日杜尔伯特天气预报,多云/多云,-17℃,-7℃,"西风 3～4级
                                        "
5,2017年11月18日杜尔伯特天气预报,多云/多云,-19℃,-10℃,"西风 &lt;3级
                                        "
6,2017年11月19日杜尔伯特天气预报,晴/晴,-19℃,-10℃,"西北风 3～4级
                                        "
7,2017年11月20日杜尔伯特天气预报,晴/多云,-16℃,-7℃,"西南风 3～4级
                                        "
8,2017年11月21日杜尔伯特天气预报,阴/阴,-12℃,0℃,"西南风 3～4级
                                        "
9,2017年11月22日杜尔伯特天气预报,多云/多云,-17℃,-4℃,"西北风 4～5级
                                        "
10,2017年11月23日杜尔伯特天气预报,多云/多云,-21℃,-10℃,"西北风 3～4级
                                        "
11,2017年11月24日杜尔伯特天气预报,多云/多云,-21℃,-11℃,"西北风 3～4级
                                        "
12,2017年11月25日杜尔伯特天气预报,晴/晴,-19℃,-11℃,"西北风 3～4级
                                        "
13,2017年11月26日杜尔伯特天气预报,晴/多云,-17℃,-10℃,"西北风 3～4级
                                        "
14,2017年11月27日杜尔伯特天气预报,多云/多云,-13℃,0℃,"西南风 4～5级
                                        "
15,2017年11月28日杜尔伯特天气预报,多云/晴,-18℃,-5℃,"西北风 5～6级
                                        "
16,2017年11月29日杜尔伯特天气预报,晴/晴,-21℃,-12℃,"西北风 4～5级
                                        "
17,2017年11月30日杜尔伯特天气预报,晴/晴,-20℃,-13℃,"西北风 3～4级
                                        "
0,2017年12月01日杜尔伯特天气预报,晴/多云,-20℃,-10℃,"西风 &lt;3级
                                        "
1,2017年12月02日杜尔伯特天气预报,多云/多云,-17℃,-9℃,"西风 3～4级
                                        "
2,2017年12月03日杜尔伯特天气预报,多云/晴,-22℃,-12℃,"西北风 &lt;3级
                                        "
3,2017年12月04日杜尔伯特天气预报,晴/晴,-22℃,-12℃,"西风 &lt;3级
                                        "
4,2017年12月05日杜尔伯特天气预报,晴/晴,-23℃,-14℃,"西风 &lt;3级
                                        "
5,2017年12月06日杜尔伯特天气预报,晴/晴,-22℃,-13℃,"西风 3～4级
                                        "
6,2017年12月07日杜尔伯特天气预报,晴/晴,-22℃,-12℃,"西风 3～4级
                                        "
7,2017年12月08日杜尔伯特天气预报,多云/阴,-18℃,-10℃,"南风 3～4级
                                        "
8,2017年12月09日杜尔伯特天气预报,小雪/阵雪,-21℃,-10℃,"南风 3～4级
                                        "
9,2017年12月10日杜尔伯特天气预报,多云/多云,-23℃,-16℃,"北风 4～5级
                                        "
10,2017年12月11日杜尔伯特天气预报,多云/多云,-23℃,-17℃,"西北风 4～5级
                                        "
11,2017年12月12日杜尔伯特天气预报,多云/多云,-23℃,-15℃,"北风 4～5级
                                        "
12,2017年12月13日杜尔伯特天气预报,晴/晴,-23℃,-14℃,"西风 3～4级
                                        "
13,2017年12月14日杜尔伯特天气预报,晴/晴,-22℃,-14℃,"西风 &lt;3级
                                        "
14,2017年12月15日杜尔伯特天气预报,晴/晴,-23℃,-14℃,"西风 &lt;3级
                                        "
15,2017年12月16日杜尔伯特天气预报,晴/晴,-22℃,-15℃,"西北风 &lt;3级
                                        "
16,2017年12月17日杜尔伯特天气预报,晴/多云,-23℃,-13℃,"西风 3～4级
                                        "
17,2017年12月18日杜尔伯特天气预报,晴/晴,-23℃,-15℃,"西北风 &lt;3级
                                        "
18,2017年12月19日杜尔伯特天气预报,晴/晴,-21℃,-13℃,"西风 3～4级
                                        "
19,2017年12月20日杜尔伯特天气预报,晴/晴,-20℃,-10℃,"西南风 &lt;3级
                                        "
20,2017年12月21日杜尔伯特天气预报,多云/多云,-18℃,-4℃,"西南风 &lt;3级
                                        "
21,2017年12月22日杜尔伯特天气预报,多云/多云,-18℃,-7℃,"西风 &lt;3级
                                        "
22,2017年12月23日杜尔伯特天气预报,晴/多云,-17℃,-5℃,"西南风 &lt;3级
                                        "
23,2017年12月24日杜尔伯特天气预报,晴/多云,-20℃,-12℃,"北风 3～4级
                                        "
24,2017年12月25日杜尔伯特天气预报,阵雪/多云,-23℃,-13℃,"北风 3～4级
                                        "
25,2017年12月26日杜尔伯特天气预报,多云/多云,-23℃,-16℃,"北风 4～5级
                                        "
26,2017年12月27日杜尔伯特天气预报,晴/晴,-22℃,-13℃,"西北风 &lt;3级
                                        "
27,2017年12月28日杜尔伯特天气预报,多云/晴,-23℃,-12℃,"西北风 &lt;3级
                                        "
28,2017年12月29日杜尔伯特天气预报,晴/多云,-19℃,-11℃,"西风 &lt;3级
                                        "
29,2017年12月30日杜尔伯特天气预报,阵雪/阴,-18℃,-11℃,"西风 &lt;3级
                                        "
30,2017年12月31日杜尔伯特天气预报,阴/阴,-20℃,-11℃,"西风 &lt;3级
                                        "
0,2018年01月01日杜尔伯特天气预报,多云/多云,-22℃,-13℃,"西风 &lt;3级
                                        "
1,2018年01月01日杜尔伯特天气预报,多云/多云,-22℃,-13℃,"西风 &lt;3级
                                        "
2,2018年01月02日杜尔伯特天气预报,多云/多云,-19℃,-11℃,"西风 &lt;3级
                                        "
3,2018年01月03日杜尔伯特天气预报,多云/晴,-19℃,-11℃,"西风 &lt;3级
                                        "
4,2018年01月04日杜尔伯特天气预报,多云/多云,-19℃,-11℃,"西风 &lt;3级
                                        "
5,2018年01月05日杜尔伯特天气预报,多云/多云,-19℃,-8℃,"西风 &lt;3级
                                        "
6,2018年01月06日杜尔伯特天气预报,多云/多云,-18℃,-6℃,"西风 &lt;3级
                                        "
7,2018年01月07日杜尔伯特天气预报,阴/阴,-18℃,-6℃,"西南风 &lt;3级
                                        "
8,2018年01月08日杜尔伯特天气预报,阵雪/阵雪,-17℃,-10℃,"南风 4～5级
                                        "
9,2018年01月09日杜尔伯特天气预报,多云/晴,-22℃,-14℃,"西北风 3～4级
                                        "
10,2018年01月10日杜尔伯特天气预报,多云/晴,-26℃,-17℃,"北风 3～4级
                                        "
11,2018年01月11日杜尔伯特天气预报,晴/晴,-26℃,-17℃,"西北风 3～4级
                                        "
12,2018年01月12日杜尔伯特天气预报,多云/晴,-25℃,-14℃,"西风 3～4级
                                        "
13,2018年01月13日杜尔伯特天气预报,晴/多云,-24℃,-10℃,"南风 3～4级
                                        "
14,2018年01月14日杜尔伯特天气预报,阵雪/多云,-19℃,-6℃,"西南风 3～4级
                                        "
15,2018年01月15日杜尔伯特天气预报,晴/多云,-22℃,-14℃,"北风 3～4级
                                        "
16,2018年01月16日杜尔伯特天气预报,多云/多云,-19℃,-10℃,"西南风 &lt;3级
                                        "
17,2018年01月17日杜尔伯特天气预报,阵雪/多云,-22℃,-8℃,"东南风 &lt;3级
                                        "
18,2018年01月18日杜尔伯特天气预报,多云/多云,-22℃,-11℃,"西风 &lt;3级
                                        "
19,2018年01月19日杜尔伯特天气预报,多云/多云,-22℃,-10℃,"西风 3～4级
                                        "
20,2018年01月20日杜尔伯特天气预报,晴/晴,-26℃,-17℃,"西北风 3～4级
                                        "
21,2018年01月21日杜尔伯特天气预报,晴/晴,-28℃,-18℃,"西北风 3～4级
                                        "
22,2018年01月22日杜尔伯特天气预报,晴/晴,-30℃,-20℃,"西北风 3～4级
                                        "
23,2018年01月23日杜尔伯特天气预报,多云/多云,-31℃,-22℃,"西北风 3～4级
                                        "
24,2018年01月24日杜尔伯特天气预报,晴/晴,-32℃,-23℃,"西北风 3～4级
                                        "
25,2018年01月25日杜尔伯特天气预报,晴/晴,-29℃,-23℃,"西北风 &lt;3级
                                        "
26,2018年01月26日杜尔伯特天气预报,晴/晴,-28℃,-18℃,"西北风 3～4级
                                        "
27,2018年01月27日杜尔伯特天气预报,多云/多云,-27℃,-16℃,"西北风 3～4级
                                        "
28,2018年01月28日杜尔伯特天气预报,多云/多云,-27℃,-17℃,"西北风 3～4级
                                        "
29,2018年01月29日杜尔伯特天气预报,晴/晴,-25℃,-15℃,"西风 3～4级
                                        "
30,2018年01月30日杜尔伯特天气预报,晴/晴,-23℃,-13℃,"西南风 3～4级
                                        "
31,2018年01月31日杜尔伯特天气预报,晴/晴,-22℃,-12℃,"西南风 3～4级
                                        "
0,2018年02月01日杜尔伯特天气预报,晴/多云,-23℃,-11℃,"西南风 3～4级
                                        "
1,2018年02月02日杜尔伯特天气预报,多云/多云,-24℃,-12℃,"西风 3～4级
                                        "
2,2018年02月03日杜尔伯特天气预报,晴/晴,-26℃,-14℃,"西风 3～4级
                                        "
3,2018年02月04日杜尔伯特天气预报,晴/晴,-27℃,-17℃,"西北风 3～4级
                                        "
4,2018年02月05日杜尔伯特天气预报,晴/晴,-25℃,-16℃,"西北风 3～4级
                                        "
5,2018年02月06日杜尔伯特天气预报,晴/晴,-25℃,-14℃,"西风 &lt;3级
                                        "
6,2018年02月07日杜尔伯特天气预报,晴/晴,-23℃,-12℃,"西风 3～4级
                                        "
7,2018年02月08日杜尔伯特天气预报,晴/多云,-20℃,-7℃,"西北风 &lt;3级
                                        "
8,2018年02月09日杜尔伯特天气预报,阵雪/多云,-20℃,-9℃,"西北风 &lt;3级
                                        "
9,2018年02月10日杜尔伯特天气预报,多云/多云,-24℃,-10℃,"西风 4～5级
                                        "
10,2018年02月11日杜尔伯特天气预报,多云/晴,-25℃,-15℃,"西北风 3～4级
                                        "
11,2018年02月12日杜尔伯特天气预报,晴/晴,-23℃,-14℃,"西北风 3～4级
                                        "
12,2018年02月13日杜尔伯特天气预报,晴/多云,-20℃,-9℃,"西风 &lt;3级
                                        "
13,2018年02月14日杜尔伯特天气预报,多云/多云,-19℃,-8℃,"西风 3～4级
                                        "
14,2018年02月15日杜尔伯特天气预报,晴/多云,-16℃,-6℃,"西风 3～4级
                                        "
15,2018年02月16日杜尔伯特天气预报,多云/晴,-22℃,-10℃,"西北风 &lt;3级
                                        "
16,2018年02月17日杜尔伯特天气预报,晴/晴,-18℃,-11℃,"西北风 3～4级
                                        "
