,date,weather situation,mixtem,maxtem,wind
0,2019年02月01日大连天气预报,晴/晴,0℃,4℃,"西南风 5-6级
                                        "
1,2019年02月02日大连天气预报,多云/阴,0℃,5℃,"西南风 5-6级
                                        "
2,2019年02月03日大连天气预报,多云/晴,-6℃,3℃,"北风 5-6级
                                        "
3,2019年02月04日大连天气预报,晴/晴,-5℃,2℃,"南风 5-6级
                                        "
4,2019年02月05日大连天气预报,多云/多云,-4℃,1℃,"东北风 5-6级
                                        "
5,2019年02月06日大连天气预报,多云/晴,-11℃,-3℃,"北风 5-6级
                                        "
6,2019年02月07日大连天气预报,晴/晴,-12℃,-8℃,"北风 5-6级
                                        "
7,2019年02月08日大连天气预报,晴/晴,-11℃,-5℃,"北风 4-5级
                                        "
8,2019年02月09日大连天气预报,晴/晴,-9℃,-5℃,"北风 5-6级
                                        "
9,2019年02月10日大连天气预报,多云/多云,-7℃,-2℃,"北风 4-5级
                                        "
10,2019年02月11日大连天气预报,多云/多云,-7℃,0℃,"西风 4-5级
                                        "
11,2019年02月12日大连天气预报,阴/阵雪,-7℃,-2℃,"东北风 5-6级
                                        "
12,2019年02月13日大连天气预报,多云/晴,-7℃,-3℃,"东北风 4-5级
                                        "
13,2019年02月14日大连天气预报,多云/中雪,-7℃,-1℃,"东北风 3-4级
                                        "
14,2019年02月15日大连天气预报,多云/晴,-6℃,-1℃,"西北风 5-6级
                                        "
15,2019年02月16日大连天气预报,晴/晴,-5℃,-1℃,"西北风 5-6级
                                        "
16,2019年02月17日大连天气预报,晴/晴,-3℃,4℃,"西风 4-5级
                                        "
17,2019年02月18日大连天气预报,多云/雨夹雪,-1℃,5℃,"西南风 4-5级
                                        "
18,2019年02月19日大连天气预报,小雪/多云,-1℃,4℃,"西南风 4-5级
                                        "
19,2019年02月20日大连天气预报,晴/晴,-1℃,5℃,"西北风 4-5级
                                        "
20,2019年02月21日大连天气预报,晴/晴,0℃,6℃,"西北风 4-5级
                                        "
21,2019年02月22日大连天气预报,多云/多云,0℃,7℃,"西北风 4-5级
                                        "
22,2019年02月23日大连天气预报,晴/晴,1℃,9℃,"北风 4-5级
                                        "
23,2019年02月24日大连天气预报,晴/晴,-1℃,9℃,"西南风 4-5级
                                        "
24,2019年02月25日大连天气预报,晴/多云,0℃,6℃,"北风 4-5级
                                        "
25,2019年02月26日大连天气预报,晴/多云,0℃,7℃,"北风 4-5级
                                        "
26,2019年02月27日大连天气预报,多云/晴,2℃,9℃,"南风 4-5级
                                        "
27,2019年02月28日大连天气预报,晴/晴,2℃,10℃,"西风 4-5级
                                        "
,date,weather situation,mixtem,maxtem,wind
0,2019年03月01日大连天气预报,晴/多云,4℃,11℃,"西南风 4-5级
                                        "
1,2019年03月02日大连天气预报,多云/多云,4℃,11℃,"西南风 4-5级
                                        "
2,2019年03月03日大连天气预报,多云/晴,4℃,12℃,"西南风 4-5级
                                        "
3,2019年03月04日大连天气预报,晴/阴,3℃,9℃,"西风 3-4级
                                        "
4,2019年03月05日大连天气预报,小雨/小雨,0℃,9℃,"南风 4-5级
                                        "
5,2019年03月06日大连天气预报,多云/晴,0℃,6℃,"北风 5-6级
                                        "
6,2019年03月07日大连天气预报,晴/晴,1℃,8℃,"西北风 4-5级
                                        "
7,2019年03月08日大连天气预报,晴/晴,3℃,11℃,"西南风 4-5级
                                        "
8,2019年03月09日大连天气预报,多云/多云,2℃,9℃,"西南风 4-5级
                                        "
9,2019年03月10日大连天气预报,多云/小雨,2℃,9℃,"东北风 4-5级
                                        "
10,2019年03月11日大连天气预报,晴/多云,1℃,10℃,"西南风 5-6级
                                        "
11,2019年03月12日大连天气预报,晴/晴,0℃,6℃,"西北风 5-6级
                                        "
12,2019年03月13日大连天气预报,晴/多云,2℃,7℃,"西北风 5-6级
                                        "
13,2019年03月14日大连天气预报,晴/多云,2℃,10℃,"北风 4-5级
                                        "
14,2019年03月15日大连天气预报,多云/多云,2℃,7℃,"西北风 5-6级
                                        "
15,2019年03月16日大连天气预报,晴/晴,2℃,10℃,"南风 4-5级
                                        "
16,2019年03月17日大连天气预报,晴/晴,5℃,12℃,"西南风 4-5级
                                        "
17,2019年03月18日大连天气预报,晴/晴,8℃,14℃,"西南风 5-6级
                                        "
18,2019年03月19日大连天气预报,晴/多云,8℃,16℃,"南风 5-6级
                                        "
19,2019年03月20日大连天气预报,小雨/多云,3℃,9℃,"东南风 6-7级
                                        "
20,2019年03月21日大连天气预报,多云/晴,0℃,7℃,"北风 6-7级
                                        "
21,2019年03月22日大连天气预报,晴/多云,2℃,8℃,"西风 4-5级
                                        "
22,2019年03月23日大连天气预报,晴/晴,3℃,8℃,"北风 5-6级
                                        "
23,2019年03月24日大连天气预报,晴/晴,5℃,11℃,"西南风 5-6级
                                        "
24,2019年03月25日大连天气预报,晴/晴,4℃,15℃,"西南风 4-5级
                                        "
25,2019年03月26日大连天气预报,晴/晴,4℃,11℃,"东北风 4-5级
                                        "
26,2019年03月27日大连天气预报,晴/晴,1℃,12℃,"北风 5-6级
                                        "
27,2019年03月28日大连天气预报,多云/多云,2℃,9℃,"北风 4-5级
                                        "
28,2019年03月29日大连天气预报,小雨/多云,2℃,9℃,"南风 4-5级
                                        "
29,2019年03月30日大连天气预报,雨夹雪/晴,0℃,5℃,"西北风 6-7级
                                        "
30,2019年03月31日大连天气预报,晴/晴,3℃,9℃,"西北风 5-6级
                                        "
